,asin,name,author,publisher,pubdate,isbn,star,douban,people
0,B08CZNQ4W1,大器晚成：乾坤未定，你我皆是黑马,里奇·卡尔加德, 天津科学技术出版社,2020年7月15日,9.78756E+12,4.2,7.4,188
1,B07JYWSW16,自得其乐,汪曾祺, 江苏凤凰文艺出版社,2018年11月8日,9.78756E+12,5,8.3,63
2,B07WRDMVJS,男人这东西,渡边淳一, 青岛出版社,2019年8月19日,9.78756E+12,4.3,7.6,11800
3,B00M7N6SE0,四书五经--中华经典普及文库,孟子, 中华书局,2009年1月1日,,3.9,,
4,B07P5MBX2X,我不是教你诈,刘墉, 接力出版社,2019年2月26日,9.78754E+12,4.2,0,0
5,B08CKP15ST,犹太人三千年简史,雷蒙德·P.谢德林, 浙江人民出版社,2020年7月8日,9.78721E+12,4.2,8.3,106
6,B071Y4CWJL,乡下人的悲歌,J.D. 万斯, 北京时代华语图书股份有限公司,2017年4月25日,9.78756E+12,4.4,7.9,4852
7,B07FDWXNWY,1Q84 BOOK 1,村上春树, 南海出版公司,2018年7月10日,9.78754E+12,4.2,8.7,1067
8,B08C59JLD6,准备,黛安娜·塔文纳, 中信出版社,2020年7月6日,9.78752E+12,4.6,8.5,181
9,B08CTZYV69,秘密会议,[英]罗伯特·哈里斯(Robert Harris), 社会科学文献出版社,2020年7月13日,9.78752E+12,4.4,7.6,167
10,B08BLJ3WZ6,人体简史,比尔·布莱森, 文汇出版社 ,2020年7月1日,9.78755E+12,4.6,8.5,1288
11,B07PHP84S8,倾城之恋,张爱玲, 北京出版集团北京十月文艺出版社,2019年3月7日,9.78753E+12,4.4,9.1,2174
12,B08B3S6Q98,多维度思考：拥有正确判断和科学决策的100条极简法则,理查德·泰普勒, 人民邮电出版社有限公司,2020年6月12日,9.78712E+12,4.6,7,140
13,B06XTGQNFZ,长夜难明,紫金陈, 云南人民出版社,2017年1月1日,9.78722E+12,4.6,8.5,48618
14,B07PJPKSPV,断舍离,山下英子, 湖南文艺出版社,2019年4月4日,9.78754E+12,4.2,7.2,2078
15,B07G76RR5Z,人间便利店,村田沙耶香, 湖南文艺出版社,2018年8月6日,9.78754E+12,4.3,7.7,13810
16,B084SQJBTY,财务自由笔记：九堂课教你用工资赚到第一个600万,安德鲁·哈勒姆(Andrew Hallam), 中国经济出版社,2020年2月14日,9.78751E+12,4.5,7.2,76
17,B07BPW69PV,火神,天下霸唱, 北京联合出版公司,2018年4月24日,9.78756E+12,3.8,7.1,1225
18,B07FLYD4S7,命运攸关的抉择：1940-1941年间改变世界的十个决策,伊恩·克肖, 浙江人民出版社,2017年7月1日,9.78721E+12,4.5,8.9,885
19,B086R1VBGD,了解人类行为的50个心理学实验：从巴甫洛夫的狗到罗夏墨迹测验,迈克尔·布里特(Michael A. Britt), 人民邮电出版社有限公司,2020年3月1日,9.78712E+12,0,5.8,53
20,B07FVNVV3G,稀缺:我们是如何陷入贫穷与忙碌的,塞德希尔·穆来纳森, 浙江人民出版社,2018年7月25日,9.78721E+12,4.2,7.5,7587
21,B08CRD8L4H,北欧神话,茅盾, 天津人民出版社,2020年7月10日,9.7872E+12,4.6,7.8,355
22,B08FT4T26S,洞见：从科学到哲学，打开人类的认知真相,罗伯特•赖特, 北京联合出版公司,2020年8月13日,9.78756E+12,4.4,8.3,927
23,B07Y9C684P,半小时漫画中国史4,陈磊, 海南出版社 ,2019年9月25日,9.78754E+12,4.7,7.7,3041
24,B083TPT8PX,告白,湊佳苗, 湖南文艺出版社,2020年2月3日,9.78754E+12,4.8,8.9,582
25,B08HYJNTXN,回归故里,迪迪埃·埃里蓬, 上海文化出版社,2020年9月14日,9.78755E+12,4.6,9,3665
26,B087TDHSP4,东言西语,郑子宁, 敦煌文艺出版社,2020年5月2日,9.78755E+12,4.3,7.6,1625
27,B08GFVY4T3,《我离开之后》,苏西•霍普金斯, 北京日报出版社,2020年8月21日,9.78755E+12,4.4,8.4,1157
28,B08FCBG7TT,欲望的演化：人类的择偶策略,戴维·巴斯, 中国人民大学出版社,2020年8月6日,9.7873E+12,4.3,8.7,107
29,B08D9BGDM9,镖人10,许先哲, 江苏凤凰文艺出版社 ,2020年7月20日,,4.9,,
