,asin,name,author,publisher,pubdate,isbn,star,douban,people
0,B01K6NKNTS,陈寅恪与傅斯年,岳南, 岳麓书社,2016年8月11日,,4.3,,
1,B072LX9QXS,烟雨濛濛,琼瑶, 中南博集天卷文化传媒有限公司,2017年5月27日,,5,,
2,B01D0Y5T5I,沈从文散文选集,沈从文, 天津博集新媒科技有限公司,2016年3月16日,,0,,
3,B07DVMRPD6,三毛：我的宝贝,三毛, 北京出版集团北京十月文艺出版社,2018年7月4日,9787530214749,4.7,8.5,336
4,B01IQRTDCY,那时的先生,岳南, 湖南文艺出版社,2016年7月20日,9787540475598,4.4,8.3,144
5,B01AJAA0Y6,从异教徒到基督徒,林语堂, 湖南文艺出版社,2016年1月13日,9787540477271,4.4,8.4,88
6,B00N1UDY5O,南渡北归1：南渡,岳南, 湖南文艺出版社,2014年8月25日,9789900187813,4.4,8.4,2433
7,B071G2BRKD,菟丝花,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月5日,,0,,
8,B013FYR640,我读,梁文道, 湖南文艺出版社,2015年8月5日,9787540478407,4.2,7.1,204
9,B06XNW7QVL,我们都是孤独的行路人,周国平, 湖南文艺出版社,2017年3月17日,,4.5,,
10,B072V1Q1BW,六个梦,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月9日,,0,,
11,B01A6EQ6QG,大城北京,林语堂, 陕西师范大学出版社,2016年1月5日,,0,,
12,B01AJAA1L8,苏东坡传,林语堂, 湖南文艺出版社,2016年1月13日,9787540476250,4.5,8.2,6661
13,B072TYQX8F,一帘幽梦,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月9日,,3.9,,
14,B071J5M4YZ,几度夕阳红,琼瑶, 中南博集天卷文化传媒有限公司,2017年5月27日,,5,,
15,B01FCQXGFC,屈原 蔡文姬,郭沫若, 人民文学出版社,2010年7月1日,9787020078011,0,6.0,91
16,B071SJBC73,庭院深深,琼瑶, 中南博集天卷文化传媒有限公司,2017年5月27日,,5,,
17,B01AJAA0SW,风声鹤唳,林语堂, 湖南文艺出版社,2016年1月13日,,4.4,,
18,B01AJAA0WI,印度的智慧,林语堂, 湖南文艺出版社,2016年1月13日,9787540477158,0,7.6,20
19,B00HV6BETW,妈阁是座城,严歌苓, 人民文学出版社,2014年1月15日,9787020101825,4.3,7.0,5347
20,B019EW625G,我读：没有人是一座孤岛,梁文道, 湖南文艺出版社,2015年12月16日,9787540473327,4.1,7.5,824
21,B07WCNG1QF,我的故事：增订版,琼瑶, 湖南文艺出版社,2019年8月16日,9787540489274,0,8.9,71
22,B01E6FVNXM,极花,贾平凹, 人民文学出版社,2016年4月25日,9787020114016,4.1,6.0,2454
23,B00ORKLEOK,你是人间的四月天,林徽因, 湖南文艺出版社,2014年10月22日,9787540461973,4,6.7,236
24,B01A6EQ6PW,吾国与吾民,林语堂, 湖南文艺出版社,2016年1月5日,9787540476281,4.4,8.6,565
25,B00N8JOKU6,南渡北归：离别,岳南, 湖南文艺出版社,2014年9月2日,9787540461775,4.4,8.6,192
26,B072JVPHPW,聚散两依依,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月5日,,0,,
27,B01A6EQ6SE,京华烟云:全2册,林语堂, 湖南文艺出版社,2016年1月5日,9787540476243,4.5,8.4,713
28,B071FKQFHN,窗外,琼瑶, 中南博集天卷文化传媒有限公司,2017年5月27日,,4.3,,
29,B019DA5COQ,俗世奇人,冯骥才, 人民文学出版社,2013年10月1日,9787020100491,4.6,8.2,534
30,B00L1SJFH4,茶馆·龙须沟,老舍, 人民文学出版社,2014年6月17日,9787020078028,4.3,8.6,394
31,B0194RD8TE,再见大师,梁实秋等, 岳麓书社,2015年12月9日,9787553803548,4.2,7.4,119
32,B07WZHS182,野草,鲁迅, 浙江教育出版社,2019年8月25日,9787540491345,5,0,0
33,B07TV2FXMW,人间草木,汪曾祺, 湖南少年儿童出版社,2019年7月1日,9787556244393,5,8.8,55
34,B07GVH4JFT,做人与处世,季羡林, 湖南少年儿童出版社,2018年8月31日,9787556237876,0,0,0
35,B01A6EQ6QQ,武则天正传,林语堂, 湖南文艺出版社,2016年1月5日,9787540477516,3.9,6.6,153
36,B06XCBP6K4,小说课,毕飞宇, 人民文学出版社,2017年1月10日,9787020122738,4.7,8.6,9721
37,B01A6EQ6R0,生活的艺术,林语堂, 湖南文艺出版社,2016年1月5日,9787540476304,4.6,7.6,392
38,B071WLCRRW,却上心头,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月5日,,0,,
39,B07211DVL8,心有千千结,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月5日,,0,,
40,B07H9YB5GP,一颗红豆,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月5日,,5,,
41,B07F65R7YP,张爱玲：海上花开,张爱玲, 北京出版集团北京十月文艺出版社,2019年11月6日,9787530218693,4.3,8.2,13
42,B00KQDO516,凌汛：朝内大街166号,冯骥才, 人民文学出版社,2014年6月3日,9787020101474,0,7.9,195
43,B01A6EQ6P2,孔子的智慧,林语堂, 湖南文艺出版社,2016年1月5日,9787540477110,4.3,7.3,22
44,B00RLKQYYS,王安石传,梁启超, 湖南人民出版社,2014年12月30日,9787543897106,0,6.7,57
45,B01H1AL7K8,流水三十章,王安忆著, 人民文学出版社,2014年6月9日,9787020098965,0,7.3,50
46,B072TZVCCK,新月格格,琼瑶, 中南博集天卷文化传媒有限公司,2017年6月9日,,5,,
